name	location	foodCategory	detailStyle	mainIngredient	description	keywordTags	signatureMenus	menuDescription
니시무라멘	마포구	CLEAR_SOUP	FUSION	CHICKEN	유자, 부추 등 이색적인 식재료를 활용한 퓨전 라멘의 정수입니다.	#퓨전라멘 #유자향 #이색조합	부추 시오라멘	맑은 육수 위에 신선한 부추 오일과 유자향이 어우러진 독창적인 퓨전 라멘입니다.
카키코우죠 (시오)	영등포구	CLEAR_SOUP	SHIO	SEAFOOD	굴의 시원한 맛을 깔끔하게 뽑아낸 맑은 굴 육수 라멘입니다.	#굴시오라멘 #시원함 #바다향	굴 시오라멘	신선한 통영산 굴을 우려낸 시원하고 깔끔한 육수가 특징인 해산물 라멘입니다.
라멘구락부	경기 의왕시	ABURASOBA	SHOYU	PORK	매니아들의 성지 의왕에서 쇼유 베이스 아부라소바로 유명합니다.	#의왕성지 #아부라소바 #비빔라멘	아부라소바	특제 간장 타래와 고추기름, 다양한 고명을 굵은 면에 비벼 먹는 중독성 강한 비빔 라멘입니다.
이봉기의 중화소바	청주 청원구	CLEAR_SOUP	CHUKA_SOBA	CHICKEN	청주의 자랑, 깊은 해산물 풍미의 클래식한 중화소바 전문점입니다.	#청주맛집 #중화소바 #클래식	중화소바	멸치와 닭 육수를 배합하여 깊은 감칠맛을 내는 옛날식 간장 라멘입니다.
쿠지라멘	부산 수영구	ABURASOBA	STANDARD	PORK	부산 수영구의 아부라소바 전문점으로 중독성 있는 타래가 특징입니다.	#부산라멘 #아부라소바 #마성의타래	아부라소바	꾸덕하고 진한 감칠맛의 특제 타래가 쫄깃한 면발에 코팅된 비빔 라멘입니다.
이치바 라멘	강남구	RICH_SOUP	MISO	PORK	진하고 구수한 미소 라멘으로 강남에서 꾸준히 사랑받는 곳입니다.	#미소라멘 #구수함 #강남맛집	미소라멘	오랜 시간 끓인 돈코츠 육수에 구수한 일본식 된장을 풀어낸 진한 라멘입니다.
석가	강동구	RICH_SOUP	MISO	PORK	강동구에서 묵직한 미소라멘과 돈코츠를 제대로 끓여내는 숨은 맛집입니다.	#강동구맛집 #미소라멘 #돈코츠	돈코츠 미소라멘	녹진한 돼지뼈 육수에 미소 타래를 더해 무겁고 진한 맛을 선사합니다.
마츠도	용산구	TSUKEMEN	MISO	PORK	미소 베이스의 츠케멘이라는 독특한 장르를 개척한 곳입니다.	#미소츠케멘 #꾸덕함 #된장타래	미소 츠케멘	구수한 미소와 고기 풍미가 응축된 걸쭉한 된장 타래에 면을 찍어 먹습니다.
부탄츄 (홍대본점)	마포구	RICH_SOUP	TONKOTSU	PORK	홍대의 전설, 면과 토핑을 마음대로 커스텀하는 진한 돈코츠 라멘입니다.	#홍대본점 #커스텀자유 #진한돈코츠	토코 돈코츠 라멘	돼지뼈를 한계까지 고아내어 국물 점도가 매우 높고 기름진 정통 돈코츠 라멘입니다.
감바레우쿠짱	서초구	RICH_SOUP	CURRY	PORK	카레의 진한 향신료와 라멘이 만난 이색적인 카레 라멘 전문점입니다.	#카레라멘 #향신료 #이색라멘	카레라멘	각종 향신료가 어우러진 묵직한 일본식 카레 베이스의 육수와 두꺼운 면이 특징입니다.
거북이의 꿈	마포구	MAJESOBA	STANDARD	SEAFOOD	해산물 고명이 잔뜩 올라간 카이센 마제소바 전문점입니다.	#카이센마제소바 #해산물 #오차즈케	카이센 마제소바	풍성하게 다져 올린 신선한 해산물과 알싸한 파를 비벼 먹고 남은 양념에 오차즈케를 즐길 수 있습니다.
유니드 라멘	광진구	CLEAR_SOUP	STANDARD	CHICKEN	광진구의 빛, 깔끔하고 대중적인 닭 육수 라멘을 선보입니다.	#광진구맛집 #닭청탕 #대중픽	시오라멘	잡내 없이 깔끔하게 끓여낸 닭 육수에 부드러운 차슈가 곁들여진 정석적인 라멘입니다.
멘야준	마포구	CLEAR_SOUP	SHIO	CHICKEN	명실상부 서울 최고의 시오/쇼유 라멘 중 하나. 멘마와 차슈가 예술입니다.	#명품시오라멘 #수비드차슈 #완벽한한그릇	특선 시오라멘	세 가지 소금을 블렌딩한 타래와 섬세한 닭 육수, 수비드 차슈 3종이 올라간 완벽한 한 그릇입니다.
나니요리	송파구	RICH_SOUP	IEKEI	PORK	송파에서 드물게 정통 이에케 라멘의 진한 맛을 느낄 수 있는 곳입니다.	#송파이에케 #이에케라멘 #짭짤함	이에케 라멘	진한 닭과 돼지뼈 육수에 쇼유 타래를 강하게 타서 밥과 함께 먹기 최적화된 라멘입니다.
류진	마포구	RICH_SOUP	JIRO	PORK	마포에서 지로계(가득 쌓인 숙주와 등지방)를 거침없이 선보이는 곳입니다.	#마포지로계 #숙주폭탄 #기름진맛	지로라멘	두꺼운 면발 위로 숙주와 다진 마늘, 큼지막한 돼지 비계가 듬뿍 올라간 마초적인 라멘입니다.
마시타야	마포구	TSUKEMEN	SHOYU	SEAFOOD	블랙 쇼유 라멘과 깊은 맛의 츠케멘으로 홍대를 평정한 맛집입니다.	#블랙쇼유 #츠케멘맛집 #홍대강자	블랙 쇼유 라멘	진한 흑색 간장 육수지만 짜지 않고 감칠맛이 깊은 시그니처 쇼유 라멘입니다.
맛스구	은평구	RICH_SOUP	TONKOTSU	PORK	은평구의 축복, 군더더기 없이 깔끔하게 떨어지는 돈코츠 라멘입니다.	#은평구라멘 #깔끔한돈코츠 #숨은맛집	돈코츠 라멘	돼지 특유의 누린내를 잡고 깔끔하면서도 진한 고소함을 살려낸 정통 돈코츠 라멘입니다.
왓쇼이켄	강남구	RICH_SOUP	TONKOTSU	PORK	강남 직장인들의 소울푸드, 찐하고 구수한 돈코츠 라멘의 근본입니다.	#강남근본 #돈코츠라멘 #구수함	돈코츠 라멘	교카이(어패류) 풍미가 살짝 스치는 진득하고 구수한 돈코츠 육수가 특징입니다.
멘야수	마포구	RICH_SOUP	TORI_PAITAN	CHICKEN	토리파이탄(닭백탕)을 부드럽고 진하게 우려낸 마포의 닭 육수 강자입니다.	#토리파이탄 #마포라멘 #부드러운맛	토리파이탄	블렌더로 거품을 내어 부드럽고 뽀얀 닭 백탕 육수에 차슈와 아지타마고를 곁들였습니다.
멘야코이시	종로구	RICH_SOUP	TONKOTSU	PORK	종로에서 일본 현지 느낌 물씬 나는 정통 돈코츠 라멘을 맛볼 수 있습니다.	#종로맛집 #일본현지맛 #돈코츠	돈코츠 라멘	진하게 우려낸 묵직한 돈코츠 육수에 세면을 매칭한 후쿠오카 스타일 라멘입니다.
멘타카무쇼	경기 수원시	TSUKEMEN	STANDARD	SEAFOOD	수원을 제패한 츠케멘 전문점. 엄청나게 두꺼운 면과 진한 어패류 타래가 압권입니다.	#수원성지 #츠케멘 #어패류타래	농후 츠케멘	돼지뼈와 멸치를 극강으로 농축한 걸쭉한 타래와 탄력 있는 극태면이 특징입니다.
라멘롱시즌	송파구	CLEAR_SOUP	SHOYU	CHICKEN	송파에 떠오르는 쇼유 라멘 맛집으로 잔잔하고 섬세한 맛을 자랑합니다.	#송파쇼유 #섬세한맛 #청탕	쇼유라멘	맑고 투명한 닭 청탕 육수에 향긋한 쇼유가 어우러진 잔잔하고 깊은 라멘입니다.
킨카라멘	서초구	RICH_SOUP	TONKOTSU	PORK	서초구에서 즐기는 캐나다계 역수입 라멘. 토치로 그을린 차슈가 특징입니다.	#서초구라멘 #토치차슈 #글로벌라멘	오리지널 돈코츠	부드러운 돈코츠 육수 위에 토치로 불향을 입힌 큼지막한 삼겹살 차슈가 인상적입니다.
566 라멘 (니보시 한정)	마포구	RICH_SOUP	STANDARD	SEAFOOD	멸치를 극단적으로 갈아넣은 시멘트빛 하드코어 니보시 라멘입니다.	#니보시 #시멘트라멘 #매니아성지	니보시 라멘	엄청난 양의 멸치를 내장째 갈아 넣어 회색빛이 도는 극강의 농도와 짠맛을 지녔습니다.
라멘바 시코우	마포구	CLEAR_SOUP	SHOYU	CHICKEN	바(Bar) 형태의 고급스러운 분위기에서 즐기는 섬세한 쇼유 라멘입니다.	#고급분위기 #바스타일 #쇼유라멘	쇼유라멘	트러플 오일의 향긋함과 부드러운 수비드 차슈가 조화로운 고급스러운 청탕 라멘입니다.
카키코우죠 (농후/파이탄)	영등포구	RICH_SOUP	STANDARD	SEAFOOD	굴을 갈아넣은 듯 묵직하고 진득한 굴 백탕 라멘입니다.	#굴파이탄 #녹진함 #깊은맛	굴 파이탄 라멘	굴을 진하게 갈아 닭 백탕 육수와 섞은 후, 녹진하고 깊은 바다의 감칠맛을 끌어올렸습니다.
멘타미 (아부라소바)	용산구	ABURASOBA	MISO	PORK	된장 베이스로 꾸덕하게 비벼먹는 이색적인 아부라소바입니다.	#미소아부라소바 #꾸덕함 #비빔라멘	미소 아부라소바	구수한 삿포로식 미소 타래에 두꺼운 면과 특제 차슈 고명을 꾸덕하게 비벼 먹는 라멘입니다.
원조마포할머니빈대떡	마포구	JEON	STANDARD	SCALLION	마포 공덕 전골목의 터줏대감으로 다양하고 푸짐한 전을 산처럼 쌓아줍니다.	#공덕전골목 #해물파전 #푸짐함	해물파전, 모둠전	통통한 오징어와 신선한 채소를 바삭하게 부쳐내며, 광주리에 원하는 전을 산더미처럼 담아줍니다.
이모네파전	동대문구	JEON	STANDARD	SCALLION	회기역 파전골목의 맹주로, 두툼하고 바삭한 해물파전이 대학생들의 소울푸드입니다.	#회기파전골목 #두툼파전 #소울푸드	해물파전	돈가스처럼 두툼하게 튀기듯 부쳐내어 겉은 바삭하고 속은 촉촉한 파전입니다.
종로빈대떡	종로구	JEON	STANDARD	KIMCHI	비 오는 날 종로에서 막걸리와 함께 즐기는 김치전과 빈대떡의 정석입니다.	#종로막걸리 #김치전 #비오는날	김치전, 빈대떡	새콤하게 잘 익은 김치로 바삭하게 부친 김치전과 고소한 녹두 빈대떡이 일품입니다.
마포나루	마포구	JEON	STANDARD	KIMCHI	주막 같은 정겨운 분위기에서 즐기는 새콤한 김치전과 막걸리가 일품입니다.	#주막분위기 #김치전 #정겨움	김치전, 보쌈	잘 익은 묵은지를 가득 썰어 넣어 부쳐낸 새콤하고 감칠맛 터지는 김치전입니다.
대동강빈대떡	강북구	JEON	STANDARD	POTATO	강북에서 감자전과 빈대떡으로 이름난 노포로, 겉바속촉의 식감을 잘 살려냅니다.	#강북노포 #감자전 #바삭함	감자전	강판에 직접 간 감자를 사용하여 쫀득쫀득하고 고소한 식감을 살려낸 오리지널 감자전입니다.
체부동잔치집	종로구	JEON	STANDARD	POTATO	서촌 먹자골목의 상징. 저렴하고 푸짐한 감자전과 잔치국수가 끝내줍니다.	#서촌맛집 #감자전 #가성비최고	감자전, 잔치국수	저렴한 가격에 엄청난 크기와 두께를 자랑하는 고소한 감자전과 진한 멸치 육수의 잔치국수입니다.
순희네빈대떡	종로구	JEON	STANDARD	MUNG_BEAN	광장시장의 아이콘이자 녹두빈대떡의 대명사로 겉바속촉의 정석입니다.	#광장시장 #녹두빈대떡 #겉바속촉	녹두빈대떡, 고기완자	맷돌에 간 녹두를 넉넉한 기름에 튀기듯 지져내어 압도적인 바삭함과 고소함을 자랑합니다.
광주육전	강남구	JEON	STANDARD	BEEF	제대로 된 전라도식 즉석 육전과 새콤한 파절이의 밸런스가 압도적입니다.	#전라도식육전 #즉석부침 #파절이조합	육전	질 좋은 소고기에 달걀옷을 얇게 입혀 테이블 옆에서 즉석으로 부쳐주는 부드러운 육전입니다.
명동교자 본점	중구	CLEAR_SOUP	KALGUKSU	SEAFOOD	오랜 시간 사랑받는 명동의 터줏대감으로 진한 국물과 마늘김치가 특징입니다.	#명동터줏대감 #고기육수 #마늘김치	명동칼국수, 교자	진한 닭 육수 베이스에 얇은 피의 완당, 다진 고기 고명이 올라간 중독성 강한 칼국수입니다.
밀밭칼국수	양주시	CLEAR_SOUP	KALGUKSU	SEAFOOD	양주에서 줄 서서 먹는 바지락 칼국수. 압도적인 바지락 양과 시원한 국물이 최고입니다.	#양주맛집 #바지락칼국수 #시원한국물	바지락칼국수, 무생채비빔밥	산더미처럼 쌓인 바지락이 우러난 개운하고 맑은 육수에 매콤달콤한 무생채를 곁들여 먹습니다.
강릉형제장칼국수 서울직영점	관악구	CLEAR_SOUP	KALGUKSU	NONE	강릉의 얼큰한 장칼국수를 서울에서 그대로! 고추장의 묵직한 매운맛이 땀을 쏙 뺍니다.	#장칼국수 #강릉의맛 #얼큰함	장칼국수	숙성된 고추장의 진하고 묵직한 국물에 계란을 풀어내어 걸쭉하고 얼큰한 맛을 선사합니다.
삼청동수제비	종로구	CLEAR_SOUP	SUJEBI	POTATO	미쉐린에 선정된 얇고 야들야들한 감자 수제비. 맑은 멸치 육수가 끝없이 들어갑니다.	#미쉐린 #감자수제비 #야들야들함	수제비, 파전	종이처럼 얇게 손으로 뜯은 야들야들한 반죽과 멸치 베이스의 깊고 깔끔한 국물이 특징입니다.
신촌수제비	서대문구	CLEAR_SOUP	SUJEBI	POTATO	신촌 대학가에서 오랜 시간 사랑받은 진하고 구수한 사골 베이스 수제비입니다.	#신촌노포 #사골수제비 #구수함	사골수제비	오랜 시간 푹 우려낸 뽀얀 한우 사골 육수에 쫀득한 수제비가 푸짐하게 들어간 노포의 맛입니다.
인사동 항아리수제비	종로구	CLEAR_SOUP	SUJEBI	SEAFOOD	인사동 좁은 골목에 위치한 항아리 수제비로 얼큰하고 시원한 해물 수제비가 일품입니다.	#인사동맛집 #항아리수제비 #얼큰수제비	얼큰수제비, 해물수제비	오징어와 굴 등 해산물이 듬뿍 들어가 국물이 시원하며 매콤한 육수가 해장용으로 완벽합니다.
광화문국밥	중구	RICH_SOUP	GUKBAP	PORK	버크셔K 흑돼지로 끓여낸 맑고 슴슴한 서울식 돼지국밥입니다.	#버크셔K #맑은국물 #평양냉면스타일	돼지국밥	흑돼지 살코기만으로 끓여내어 평양냉면처럼 국물이 맑고 슴슴하며 기름기 없이 깔끔합니다.
옥동식	마포구	CLEAR_SOUP	GUKBAP	PORK	돼지 곰탕의 선구자이며, 밥이 말아져 나오는 토렴식 국밥입니다.	#돼지곰탕 #토렴식 #감칠맛폭발	돼지곰탕	지리산 흑돼지를 고아 만든 황금빛의 맑고 투명한 육수에 얇게 저민 부드러운 고기가 올라갑니다.
청와옥	송파구	RICH_SOUP	GUKBAP	SUNDAE	유기그릇에 담겨 나오는 정갈한 순대국밥. 진한 사골 국물과 실한 건더기가 일품입니다.	#순대국밥 #정갈함 #진한사골	순대국밥	8시간 끓인 진한 사골 육수에 피순대와 머릿고기가 가득 들어가며, 매콤한 다대기가 풀어져 나옵니다.
중앙해장	강남구	RICH_SOUP	JJIGAE	PORK	강남 직장인들의 회식 성지로, 질 좋은 한우 곱창전골이 유명합니다.	#회식성지 #곱창전골 #최강술안주	곱창전골, 양선지해장국	신선한 한우 곱창과 내장에서 우러나온 녹진하고 고소한 기름과 매콤달콤한 양념의 조화가 압권입니다.
광화문집	종로구	CLEAR_SOUP	JJIGAE	KIMCHI	세월의 흔적이 묻어나는 노포에서 끓여 먹는 얼큰하고 시큼한 김치찌개가 예술입니다.	#광화문노포 #김치찌개 #시큼한맛	김치찌개, 계란말이	오래 푹 익힌 묵은지의 찌릿한 산미와 숭숭 썰어 넣은 돼지고기가 어우러진 노포 스타일의 찌개입니다.
원조할머니부추전	관악구	JEON	STANDARD	CHIVE	관악산 등산객들의 방앗간. 향긋한 부추가 듬뿍 들어간 바삭한 부추전이 유명합니다.	#등산객맛집 #부추전 #향긋함	부추전	부추를 아낌없이 썰어 넣어 향긋함이 폭발하며 밀가루 반죽을 최소화해 매우 바삭합니다.
버드나무집 서초본점	서초구	CLEAR_SOUP	GUKBAP	BEEF	거대한 갈빗대와 달착지근하면서 진득한 국물의 전설적인 갈비탕입니다.	#갈비탕 #오픈런 #달착지근함	한우 갈비탕	거대한 한우 갈빗대에 붙은 풍성한 고기와 파가 듬뿍 들어간 맑고 달착지근한 국물이 특징입니다.
일미감자탕	용산구	RICH_SOUP	GUKBAP	PORK_BONE	용산의 전설적인 뼈해장국. 맑으면서도 깊고 개운한 국물에 살코기가 산처럼 쌓여 있습니다.	#용산맛집 #뼈해장국 #개운한국물	감자탕, 뼈해장국	들깨가루 없이 맑게 끓여내어 시원하고 개운한 육수와 엄청난 양의 돼지 목뼈 고기가 제공됩니다.
오뎅식당 본점	의정부시	RICH_SOUP	JJIGAE	HAM_SAUSAGE	의정부 부대찌개의 원조 격으로 햄 기름맛과 김치의 조화가 훌륭합니다.	#부대찌개원조 #햄기름맛 #얼큰함	부대찌개	스팸과 소시지에서 배어 나오는 짭짤한 기름과 시원한 김치 국물이 완벽한 조화를 이룹니다.
정겨운오뎅집	마포구	RICH_SOUP	JJIGAE	AMUK	마포에서 따뜻한 정종 한잔과 함께 즐기는 포장마차 감성의 꼬치어묵탕입니다.	#어묵탕 #포장마차감성 #정종한잔	꼬치어묵탕	진하게 우러난 무와 멸치 베이스의 깊은 국물에 부드러운 꼬치 어묵을 담가 먹습니다.
비야게레로	강남구	TACO	AUTHENTIC	PORK	멕시코 중부 미초아칸식 정통 까르니따스 전문점입니다.	#까르니따스 #정통멕시칸 #라드조리	까르니따스 타코	돼지 위, 껍데기, 혀 등 특수 부위를 라드(Lard)에 장시간 저온 조리하여 부드러운 옥수수 또르띠아에 올립니다.
타코스탠드	마포구	TACO	AUTHENTIC	PORK	현지 스트릿 타코 스타일을 재현하여 강한 현지 향신료 향과 옥수수 향이 조화를 이룹니다.	#스트릿타코 #초리조 #오소리감투	초리조 타코	오소리감투와 매콤한 초리조, 라임 즙, 다진 양파, 고수를 곁들여 강렬한 스트릿 풍미를 냅니다.
라까예	중구	TACO	AUTHENTIC	PORK	신당 멕시코시티풍 정통 타코 점포로, 수직 회전 화로(Trompo)에서 구워낸 고기가 특징입니다.	#알빠스또르 #화로직화 #신당맛집	알 빠스또르 타코	수직 회전 화로에서 구워낸 양념 돼지고기에 상큼한 파인애플 조각을 올려 서빙하는 멕시코 시티 스타일입니다.
더 타코 부스	강남구	TACO	AUTHENTIC	BEEF	뉴욕과 현지에서 유행하는 비리아(Birria) 타코 전문점입니다.	#비리아타코 #소고기콘소메 #디핑타코	비리아 타코	소고기를 멕시코 고추로 푹 끓여내 치즈와 함께 그릴에 굽고 진한 소고기 육수(콘소메)에 찍어 먹습니다.
멕시칼리	광진구	TACO	TEX_MEX	SEAFOOD	매일 아침 직접 밀가루 반죽을 밀어 구워낸 쫀득한 수제 밀 또르띠아가 훌륭합니다.	#피쉬타코 #수제밀또르띠아 #바하스타일	피쉬 타코	바삭하게 튀긴 흰살생선과 매콤한 살사, 양배추 슬로우를 부드러운 수제 밀 또르띠아에 싸 먹습니다.
크리스피포크타운	용산구	TACO	AUTHENTIC	PORK	오겹살 껍데기를 바삭하게 구워 식감을 극대화한 크리스피 포크 타코가 주력입니다.	#크리스피포크 #수아데로 #이태원타코	크리스피 포크 타코	오겹살의 껍데기 부분을 튀기듯 바삭하게 조리해 크런치한 식감과 고소한 기름맛이 극대화된 타코입니다.
엘 몰리노	성동구	TACO	AUTHENTIC	BEEF	토종 고대 옥수수를 직접 맷돌에 갈아 만든 수제 또르띠아 다이닝입니다.	#맷돌또르띠아 #토종옥수수 #파인다이닝	소 렝구아 타코	닉스타말화 공법으로 빚어 극상의 옥수수 향을 지닌 또르띠아에 부드럽게 조리한 소혀(렝구아)를 올렸습니다.
라크루다	용산구	TACO	AUTHENTIC	PORK	멕시코 건고추와 에파소테 향신료를 풍부하게 사용한 오리지널 레시피를 구현합니다.	#한남동맛집 #바르바코아 #멕시칸향신료	바르바코아 타코	전통 향신료와 함께 소고기를 부드럽게 쪄내듯 익혀 결대로 찢어낸 육즙 가득한 타코입니다.
엘피노323	용산구	TACO	AUTHENTIC	CHICKEN	미국 셰프의 레시피를 바탕으로 직접 끓여낸 정통 살사와 닭고기 요리들을 선보입니다.	#바르바코아 #수제살사 #정통타코	치킨 몰레 타코	초콜릿(카카오)과 칠리를 섞어 만든 깊고 복합적인 풍미의 몰레(Mole) 소스를 얹은 치킨 타코입니다.
베르데	마포구	TACO	TEX_MEX	BEEF	사워크림과 치즈 소스가 올라간 대중적이고 풍성한 텍스멕스 스타일입니다.	#연남동맛집 #비프퀘사디아 #텍스멕스	비프 퀘사디아, 타코	그릴에 구운 소고기 스테이크(아사다)와 칠리 콘 카르네, 치즈를 듬뿍 채워 구워낸 대중적인 텍스멕스 요리입니다.
