name	exact_address	store_features	signature_menu	menu_features	sold_out_info	waiting_system	has_dine_in	positive_reviews	negative_review	review_links	comparisons	latitude	longitude
르뱅룰즈 선릉점	서울 강남구 삼성로95길 27	프랑스 빵집 느낌의 유럽풍 감성, 자연발효종 르뱅 사워도우 전문점	잠봉뵈르, 무화과 크림치즈 바게트	바게트와 잠봉뵈르 샌드위치의 탄탄한 기본기, 바삭한 바게트와 짭짤한 잠봉 햄의 조화	인기 매장이므로 오후 늦게 방문 시 주요 식사빵 품절	테이크아웃 손님이 많으며 점심시간대 대기 발생	true	잠봉뵈르 샌드위치의 바게트 식감이 예술입니다|건강하고 담백한 식사빵이라 매일 먹어도 부담 없어요|유럽에 온 듯한 야외 테라스 분위기가 너무 좋습니다	빵 가격이 꽤 높고 매장 내부가 협소해 테이크아웃이 편합니다.	https://blog.naver.com/net01207790|https://blog.naver.com/kooong2022/224262245372|https://blog.naver.com/dgsj_hyene/224268806718	수더분|식사빵|수더분이 묵직하고 거친 사워도우 중심이라면, 르뱅룰즈는 프렌치 바게트와 잠봉뵈르 중심의 유러피안 식사빵	37.5074197	127.0537062
에삐 선릉본점	서울 강남구 선릉로 518	일본식 제과제빵 달인이 만드는 정통 베이커리. 생활의 달인 출연	몽블랑, 명란 바게트	겉은 바삭하고 속은 촉촉한 페이스트리 결을 자랑하는 몽블랑과 짭짤고소한 명란	저녁 퇴근 시간대 인기 빵 소진	워크인 구매 가능	false	몽블랑의 결이 하나하나 살아있고 버터 풍미가 진해요|명란 바게트가 비리지 않고 짭짤해서 맥주 안주로 최고입니다|모든 빵이 기본기가 탄탄하고 맛있어요	매장이 좁아 손님이 몰릴 때 빵을 고르기가 다소 불편합니다.	https://blog.naver.com/cerdos|https://blog.naver.com/waterbxxn/224132980786|https://blog.naver.com/nuyh__a/224257592997	김영모과자점|몽블랑|김영모과자점의 몽블랑이 달콤한 시럽 맛과 큼직한 크기라면, 에삐는 조금 더 섬세하고 바삭한 페이스트리 결을 살림	37.50584	127.04859
담밀	경기 화성시 효행구 상리1길 167	화성 봉담의 숨은 동네 베이커리, 건강한 식사빵과 구움과자 중심	올리브 치아바타, 소금빵	담백하고 쫄깃한 치아바타와 고소한 버터 풍미의 소금빵	빵 생산량이 적어 늦은 오후 품절 가능성 높음	원활한 동네 빵집	true	동네에 이런 퀄리티의 빵집이 생겨서 너무 좋습니다|소금빵 밑바닥이 바삭하고 버터홀이 제대로예요|식사 대용으로 먹기 편안하고 담백합니다	빵 종류가 대형 베이커리에 비해 다양하지 않아 선택의 폭이 좁습니다.	https://blog.naver.com/daisyily/224234153856|https://blog.naver.com/chori920/224249965825	블랑제리 르가르쏭|동네빵집|르가르쏭이 호수공원 뷰와 대형 카페의 화려함이라면, 담밀은 작지만 내실 있는 담백한 동네 식사빵 전문	37.2330846	126.9421773
미힐	대구 남구 중앙대로49길 49	대명동 계대 앞, '사장님 마음대로' 샌드위치 등 건강한 빵을 선보이는 동네 베이커리 카페	사과 루꼴라 샌드위치, 사워도우	신선한 사과와 치즈, 루꼴라가 들어간 건강하고 아삭한 샌드위치	당일 빵 수량 한정, 인스타 DM으로 수량 확인 필요	방문 전 DM 예약 권장	true	건강하고 신선한 재료의 조합이 훌륭한 샌드위치입니다|동네의 작고 조용한 분위기가 마음에 들어요|빵 자체가 담백해서 속이 편합니다	빵 수량이 적고 인스타그램 실시간 소통이 원활하지 않을 때가 있습니다.	https://blog.naver.com/rlacodus0412/224160751159|https://blog.naver.com/ming__zi|https://blog.naver.com/eun22un	윈드윈|샌드위치|윈드윈이 웨이팅 극악의 화려하고 터질듯한 샌드위치라면, 미힐은 작고 소박한 감성의 건강한 샌드위치	35.8553033	128.58775
랑잠	대구 수성구 수성로15길 12-1	AOP 인증 레스큐어 버터와 소금집 잠봉 햄을 사용하는 수성구 잠봉뵈르 맛집	바게트 잠봉뵈르, 치아바타 잠봉뵈르	겉이 바삭하고 단단한 하드 바게트와 짭짤한 잠봉 햄, 고소한 버터의 조화	인기 샌드위치류는 점심시간 전후로 품절	픽업 및 점심시간 현장 대기	true	대구 최고의 잠봉뵈르 맛집으로 인정합니다|버터와 햄의 퀄리티가 압도적입니다|입천장이 까져도 포기할 수 없는 바삭하고 고소한 바게트입니다	바게트가 꽤 딱딱한 편이라 부드러운 빵을 선호하면 먹기 힘들 수 있습니다.	https://blog.naver.com/idgeneral|https://blog.naver.com/idgeneral/224016057502|https://blog.naver.com/bussin_/223512131530	르뱅룰즈|잠봉뵈르|르뱅룰즈와 비슷한 정통 바게트 베이스이나 랑잠은 소금집 잠봉 햄의 짭짤함을 강조하며 치아바타 옵션을 제공함	35.8330108	128.6103879
윈드윈	대구 중구 달구벌대로405길 42	대구에서 가장 웨이팅이 심한 빵지순례 필수 코스, 가성비와 맛을 모두 잡은 곳	리코타 치즈 샌드위치, 가지 샌드위치	속재료가 터질 듯이 꽉 차 있는 압도적 비주얼과 신선한 리코타 치즈의 조화	오전 8시 오픈 전부터 줄서며, 오전 중 주요 샌드위치 조기 완판	오픈런 필수 (평일/주말 불문 1시간 이상 웨이팅)	false	인생 샌드위치입니다, 속재료가 정말 아낌없이 들어있어요|가성비가 미쳤고 빵과 내용물의 조화가 완벽합니다|리코타 치즈의 풍미가 서울 유명 빵집을 능가합니다	웨이팅이 너무 길어 주말에는 사실상 구매하기가 매우 힘듭니다.	https://blog.naver.com/sim123__|https://blog.naver.com/o__0___0|https://blog.naver.com/drawingirls	런던베이글뮤지엄|웨이팅 및 속재료|런던베이글뮤지엄의 화려함과 비견될 만한 윈드윈만의 압도적인 샌드위치 가성비와 극강의 웨이팅 난이도	35.8672238	128.5839598
퀸즈베이커리 삼청점	서울 종로구 북촌로5길 56	삼청동 한옥마을 뷰를 감상할 수 있는 한옥 개조 대형 베이커리 카페 (유럽풍+한국적 조화)	앙버터 소금빵, 대파 크림 베이글	겉바속촉 소금빵 안에 달콤한 팥앙금과 버터의 단짠 조화, 매장에서 직접 굽는 프렌치 스타일 빵	주말 피크 타임 일부 메뉴 품절	대형 카페로 좌석 여유로우나 주말 점심 붐빔	true	2층 테라스에서 바라보는 북촌 한옥 뷰가 예술입니다|앙버터 소금빵의 단짠 조화가 너무 훌륭해요|공간이 넓고 인테리어가 예뻐 데이트 코스로 최고입니다	관광지 상권에 위치해 빵과 음료 가격이 비싼 편입니다.	https://blog.naver.com/stopgo20|https://blog.naver.com/maengslife|https://blog.naver.com/quiipen	퍼먼트|분위기|퍼먼트가 힙한 성수동 감성이라면, 퀸즈베이커리는 고즈넉한 한옥 기와 뷰를 즐기는 대형 카페	37.5799089	126.981921
프루케 생과일케이크 본점	경기 화성시 동탄구 동탄대로 587	화성 동탄의 생과일 케이크 전문점이자 머랭 기반 파블로바 맛집	과일 파블로바, 제철 생과일 케이크	바삭하고 쫀득한 머랭 베이스 위에 신선한 과일이 미친듯이 폭탄처럼 쌓여 있는 비주얼	당일 생산 케이크 예약 소진 시 조기 마감	홀 테이블 적음, 사전 예약 권장	true	과일 양이 정말 미쳐서 케이크가 아니라 과일 바구니 같아요|파블로바의 쫀득바삭한 식감이 신선합니다|기념일 케이크로 비주얼과 맛 모두 완벽해요	파블로바 특성상 시간이 지나면 눅눅해져 빨리 먹어야 하며 보관이 까다롭습니다.	https://blog.naver.com/so_young666/224232689656|https://blog.naver.com/dabok_ee|https://blog.naver.com/imurchu	메종엠오|디저트|메종엠오가 클래식한 프렌치 구움과자의 정석이라면, 프루케는 압도적인 비주얼의 호주식 생과일 파블로바 중심	37.2061505	127.0984851
동경빵집	경기 화성시 동탄구 동탄광역환승로 73	매일 아침 직접 구워내는 동탄 주민들이 사랑하는 작고 정감 있는 동네 빵집	에그머니 샌드위치, 소금빵	엄마가 만들어 준 것 같은 푸짐하고 부드러운 샌드위치와 버터 풍미 진한 소금빵	에그머니 샌드위치는 조기 품절이 잦음	포장 위주로 대기열은 적음	false	에그머니 샌드위치가 정말 부드럽고 속이 든든해요|사장님이 친절하시고 동네 빵집만의 정이 느껴집니다|기본 빵들이 저렴하면서도 퀄리티가 훌륭합니다	규모가 작아 빵 라인업이 화려하지 않고 앉아서 먹을 공간이 없습니다.	https://blog.naver.com/asj0707nn/223703588702|https://blog.naver.com/hsview/223943806889|https://blog.naver.com/seuld-	이성당|동네빵집|이성당처럼 친숙한 클래식 빵의 매력을 지녔으며 샌드위치의 가성비가 돋보임	37.2024202	127.0900135
메종드빵	대구 북구 동천로 87	제빵 기능장/국가대표 출신 사장님이 운영하는 칠곡의 유기농 밀가루 건강빵 맛집	두바이 소금빵, 딸기 듬뿍 케이크	트렌디한 재료를 살린 비주얼 좋은 빵과 속이 편안한 천연 효모빵	저녁 시간대 조기 매진	포장 손님 위주로 원활하나 늦게 가면 빵 없음	false	딸기 케이크 비주얼이 압도적이고 크림이 느끼하지 않아요|국가대표 제빵사의 빵이라 그런지 속이 너무 편안합니다|두바이 소금빵 등 트렌디한 메뉴가 많아 좋아요	가격대가 꽤 높고 매장에 취식 공간이 없어 아쉽습니다.	https://blog.naver.com/shsy5970|https://blog.naver.com/aram370|https://blog.naver.com/jandn_/223494788047	아베베베이커리|트렌디함|아베베베이커리가 묵직한 크림과 떡의 조화라면, 메종드빵은 기능장의 기본기에 트렌디한 부재료를 더한 프리미엄 동네 빵집	35.9394457	128.5599986
마사마드레	서울 종로구 자하문로7길 68-3	아늑하고 따뜻한 분위기의 붉은색 건물 지하 베이커리 맛집. 2024 블루리본 서베이 등재.	사과와 햄 샌드위치, 어니언 잠봉뵈르	신선한 사과, 사과잼, 치즈, 햄의 조화. 재료가 풍성하고 크기가 커서 한 끼 식사로도 든든함.	당일 재료 소진 시 조기 마감	워크인 구매	true	사과와 햄 샌드위치의 단짠 조화가 너무 훌륭해요|어니언 잠봉뵈르에 버터와 생양파가 들어가 색다른 맛입니다|샌드위치 크기가 커서 든든하고 브런치로 딱 좋아요	샌드위치가 너무 커서 매장에 나이프가 없으면 먹기 조금 불편합니다.	https://blog.naver.com/alwayshappy-b/224113398382|https://blog.naver.com/yunae22/224225901655|https://blog.naver.com/sosominbi	소금집델리|잠봉뵈르|소금집델리가 정통 짭짤한 잠봉 햄에 집중한다면, 마사마드레는 생양파와 풍성한 채소 등 다채로운 부재료를 활용한 샌드위치	37.5804345	126.9691233
고미베이커에프앤비	경기 수원시 권선구 경수대로 224	수원 권선동에 위치한 정겨운 동네 빵집 스타일의 베이커리	단팥빵, 소보로빵	기본에 충실한 클래식한 빵 메뉴로 남녀노소 즐기기 좋은 맛	인기 빵은 오후 시간대 품절 가능	동네 상권으로 웨이팅 적음	false	가성비가 좋고 빵 크기가 커서 든든합니다|어릴 때 먹던 추억의 빵 맛 그대로예요|사장님이 친절하고 아침 식사 대용으로 먹기 편안합니다	대형 베이커리 카페에 비해 세련되거나 트렌디한 메뉴는 부족한 편입니다.	https://blog.naver.com/hyojin0221/224244424585|https://blog.naver.com/jyisam|https://blog.naver.com/gusdk00215	수원의아침|클래식 빵|수원의아침이 대형 베이커리 카페의 규모를 갖췄다면, 고미베이커에프앤비는 작고 친숙한 동네 빵집의 기본기를 지님	37.2471151	127.0180507
도나의식탁	경기 화성시 효행구 효행로265번길 17	아담하고 깔끔한 분위기의 브런치 겸 베이커리를 제공하는 공간	소금빵, 식빵	부드러운 식감과 고소한 버터 풍미를 살린 기본 식사빵 류	생산량이 적어 주말 오후 조기 품절	예약 방문 및 포장 손님 위주	true	빵이 담백해서 샌드위치 만들어 먹기 너무 좋아요|조용하고 깔끔한 매장 분위기가 마음에 듭니다|소금빵 겉바속촉 밸런스가 아주 좋습니다	메뉴가 한정적이고 일찍 품절되어 늦게 가면 살 수 있는 빵이 없습니다.	https://blog.naver.com/misuniy/224211866533|https://blog.naver.com/kyeuni96/223772234691|https://blog.naver.com/cucumberslife	혜경궁베이커리|규모와 메뉴|혜경궁베이커리가 거대한 한옥과 화려한 빵 종류를 자랑한다면, 도나의식탁은 작고 소박한 브런치 식사빵에 집중함	37.2251295	126.9732107
폴디드	경기 평택시 세교4로 13	평택 세교동의 페이스트리 전문 테이크아웃 베이커리. 금, 토, 일 오전에만 영업	아몬드 크루아상, 퀸아망	겹겹이 바삭한 페이스트리 결이 살아있고 버터 풍미가 짙은 메뉴	오픈 직후 빠르게 품절되어 오픈런 필수	오전 9시 오픈 전부터 현장 웨이팅	false	아몬드 크루아상과 뺑스위스 결이 정말 예술입니다|바삭하고 고소해서 두 시간 기다려서 살 만한 가치가 있어요|평택 최고의 페이스트리 맛집입니다	영업일이 짧고 웨이팅이 길어 구매 난이도가 너무 높습니다.	https://blog.naver.com/elly-j/223655449539|https://blog.naver.com/aliseon|https://blog.naver.com/ju23h	아우어베이커리|페이스트리|아우어베이커리가 트렌디한 초코 페이스트리를 대중화했다면, 폴디드는 주말 한정 오픈런으로 극강의 바삭함을 제공하는 로컬 맛집	37.0058309	127.0856426
NNN BAKERY	충남 서산시 동헌로 83	구자홍 셰프가 운영하며, 천연 발효종과 노르망디 버터 등 고급 재료를 사용하는 서산 유명 빵집	소금빵, 크루아상	자극적이지 않고 매일 먹을 수 있는 기본에 충실하고 소화가 잘 되는 식사빵	인기가 많아 조기 품절 잦음 (전화/인스타 예약 추천)	포장 위주의 좁은 매장, 피크 타임 웨이팅 발생	false	기본기가 탄탄해서 매일 먹어도 질리지 않아요|라즈베리 크루아상 상큼하고 너무 맛있습니다|좋은 재료를 써서 속이 편안해요	매장이 아담하여 내부에 대기하거나 취식할 공간이 부족합니다.	https://blog.naver.com/happy9_6/224278197323|https://blog.naver.com/rlatnwl0608|https://blog.naver.com/daengnyang1018/224242753655	성심당|가성비 식사빵|성심당이 튀김소보로 등 화려한 시그니처 빵으로 유명하다면, NNN은 크루아상과 바게트 등 매일 먹기 좋은 유럽식 식사빵 기본기에 집중함	36.77693	126.4526488
블랑제리 르가르쏭	경기 화성시 동탄구 동탄순환대로3길 28-6	동탄호수공원 풍경을 감상할 수 있는 분위기 좋은 대형 베이커리 카페	치아바타, 페이스트리 류	다양한 종류의 빵과 크리스마스 등 시즌 분위기를 낸 화려한 디스플레이	주말 오후 시간대 인기 빵 소진	대형 카페로 좌석이 많으나 주말 창가석 웨이팅	true	동탄호수공원 뷰가 탁 트여서 정말 아름답습니다|화학 첨가제를 안 써서 그런지 빵이 건강하고 맛있어요|크리스마스 분위기 등 인테리어가 훌륭합니다	빵 종류에 비해 음료 라인업이 다소 부실한 느낌이 있습니다.	https://blog.naver.com/gorgeousyj|https://blog.naver.com/9oowol/224297217258|https://blog.naver.com/119jayong	포근 베이커리|동탄 대형 카페|포근 베이커리가 넓은 주차장과 압도적 규모에 집중한다면, 르가르쏭은 동탄호수공원의 수변 뷰 감상에 최적화됨	37.1670932	127.095945
라라베이커리	경기 수원시 권선구 동수원로 232	두바이 초콜릿과 두바이 쫀득 쿠키(두쫀쿠)로 수원에서 가장 핫한 디저트 빵집	두바이 쫀득쿠키, 버터떡	두바이 초콜릿 특유의 피스타치오 맛과 바삭한 식감을 한국식 디저트와 결합	초인기 메뉴로 빠른 시간 내 완판	평일 저녁에도 웨이팅이 있을 정도로 핫함	false	두바이 쫀득 쿠키의 식감이 정말 미쳤습니다|버터떡이 쫄깃하고 달콤해서 계속 들어가요|수원에서 두바이 초콜릿 디저트를 가장 잘 구현한 곳입니다	오픈런을 하지 않으면 인기 메뉴는 구경조차 하기 힘듭니다.	https://blog.naver.com/yseslly/224189753350|https://blog.naver.com/ariari15|https://blog.naver.com/ny500216/224135199922	이웃집통통이|트렌디 디저트|이웃집통통이가 약과 쿠키 등 편의점 협업으로 유명하다면, 라라베이커리는 두바이 초콜릿 열풍을 오프라인에서 가장 트렌디하게 이끄는 빵집	37.2474697	127.0503626
허대빵	부산 부산진구 서전로37번길 26	부산 전포동 빵지순례 필수 코스. 쫀득한 빵피와 터질듯한 크림치즈 속재료로 유명한 포장 전문점	모찌빵, 베이글 산도	얇고 쫀득한 모찌 빵피 안에 피스타치오, 라즈베리 등 묵직한 크림치즈가 폭탄처럼 들어감	수량 한정 예약 가능, 현장 구매분은 오후 완판	웨이팅이 매우 김	false	빵피가 얇고 쫀득해서 떡과 빵의 경계 같아요|크림치즈가 아낌없이 들어가 있어서 가성비가 훌륭합니다|냉동실에 얼려 먹으면 아이스크림 같아서 더 맛있어요	크림치즈 양이 워낙 많아 사람에 따라 다소 느끼하거나 산미가 강하게 느껴질 수 있습니다.	https://blog.naver.com/sumperry|https://blog.naver.com/hun2___/224032399633|https://blog.naver.com/doingme/223516109836	어글리베이커리|크림빵|어글리베이커리가 거친 사워도우와 크림의 조화라면, 허대빵은 극강의 쫀득한 빵피와 치즈케이크 같은 밀도 높은 크림치즈 샌딩이 특징	35.1568882	129.0650271
파이인더샵 용산점	서울 용산구 한강대로52길 17-11	용리단길의 핫플레이스. 루프탑과 우드 톤의 힙한 인테리어를 갖춘 대형 파이 전문 카페	말차 마카다미아 파이, PIE 라떼	바삭한 파이지 위에 화려하고 달콤한 크림과 토핑을 듬뿍 올린 시각적인 디저트	주말 오후 인기 파이 및 케이크 매진	주말에는 매장 대기 및 좌석 확보를 위한 눈치싸움 심함	true	파이 비주얼이 너무 예뻐서 먹기 아까울 정도예요|루프탑과 우드톤 인테리어 분위기가 사진 찍기 너무 좋습니다|파이 라떼의 고소함과 파이의 달콤함이 환상적입니다	테이블 간격이 좁고 사람이 너무 많아 대화하기 시끄럽습니다.	https://blog.naver.com/nadaumii/223519296307|https://blog.naver.com/livorrrr|https://blog.naver.com/thank2008/223591223852	진저베어|파이 전문점|진저베어가 고기 파이 등 영국식 미트파이 중심이라면, 파이인더샵은 화려한 비주얼의 달콤한 디저트 케이크 파이가 주력임	37.5325555	126.9725131
투떰즈업	서울 마포구 월드컵로19길 71	망원동 최고의 웨이팅 맛집. 맘모스빵과 쌀베이글 샌드위치로 할매 입맛을 저격하는 빵지순례 명소	밤모스, 쌀베이글 샌드위치	재료를 아끼지 않은 묵직한 무게감과 견과류, 밤, 팥 등이 듬뿍 들어간 압도적 속재료	오픈 직후 순식간에 매진됨 (택배 주문도 경쟁 치열)	오픈런 필수 및 캐치테이블 웨이팅 등록 방식 운영	false	빵이 무거울 정도로 속재료가 미친듯이 꽉 차 있습니다|밤모스는 할매 입맛인 저에게 인생 빵입니다|쌀베이글이라 쫀득하고 속도 편안해요	웨이팅이 극악이며 택배 티켓팅도 너무 치열해 먹기가 별따기입니다.	https://blog.naver.com/jeeepark__|https://blog.naver.com/specialad/224274279780|https://blog.naver.com/syp9	장블랑제리|맘모스빵|장블랑제리가 가성비 좋고 클래식한 옛날 맘모스빵의 정석이라면, 투떰즈업은 흑임자 등 현대적인 트렌드 재료를 믹스한 프리미엄 맘모스 샌드	37.554922	126.9048319
